,Unnamed: 0,epoch,iteration,mode,accuracy,loss,loss_classification,earliness_reward,lr,mean_accuracy,mean_recall,mean_precision,mean_f1,kappa,earliness
20,20,11,,train,0.77,0.680532,0.98034346,0.29981148,0.012309149097933273,0.6645628798503844,0.6645628798503844,0.7619047619047339,0.6801557502428712,0.3797195253505934,0.20326316356658936
22,22,12,,train,0.82,0.6651503000000001,0.94405043,0.27890012,0.011785113019775792,0.780738662926584,0.780738662926584,0.7916464303059553,0.7857142857137682,0.5716325559257496,0.29547369480133057
24,24,13,,train,0.88,0.6315626,0.88160336,0.25004074,0.01132277034144596,0.8330995792426185,0.8330995792426185,0.8799999999999766,0.8511904761899591,0.7037037037037037,0.39221054315567017
26,26,14,,train,0.86,0.59574246,0.84176797,0.24602553,0.010910894511799621,0.8097241701729603,0.8097241701729603,0.8533333333333109,0.8263888888883726,0.654320987654321,0.4185263216495514
28,28,15,,train,0.86,0.5613431999999999,0.83320564,0.27186242,0.0105409255338946,0.8008415147264905,0.8008415147264905,0.8633540372670563,0.8224251648904046,0.6477101157523905,0.37768420577049255
30,30,16,,train,0.87,0.50340104,0.7988911999999999,0.29549018,0.010206207261596576,0.8080878915380845,0.8080878915380845,0.8840326340326079,0.8331408034906955,0.6697154471544715,0.3001052737236023
32,32,17,,train,0.84,0.5119208,0.8168687,0.30494790000000005,0.009901475429766743,0.8129967274427119,0.8129967274427119,0.8129967274427119,0.8129967274422121,0.6259934548854604,0.2516842186450958
34,34,18,,train,0.85,0.51175725,0.8161008000000001,0.30434355,0.009622504486493764,0.8468910705937157,0.8468910705937157,0.8220486111110938,0.8316687240484117,0.6642793196060877,0.2477894872426987
36,36,19,,train,0.84,0.43555802,0.7368303,0.30127227,0.00936585811581694,0.8129967274427119,0.8129967274427119,0.8129967274427119,0.8129967274422121,0.6259934548854604,0.2712631821632385
38,38,20,,train,0.88,0.42584917,0.7147148,0.28886566,0.009128709291752768,0.8153342683496787,0.8153342683496787,0.9065702230258912,0.8440748440743335,0.6921498204207286,0.3449473977088928
40,40,21,,train,0.93,0.42998388,0.7083206999999999,0.2783368,0.008908708063747479,0.9137447405329384,0.9137447405329384,0.9214285714285496,0.9174430947040432,0.8349056603773586,0.3387368619441986
42,42,22,,train,0.9,0.37627125,0.65815413,0.28188288,0.008703882797784893,0.8920056100981562,0.8920056100981562,0.8792401628222328,0.8851102941171274,0.7703261368856225,0.3305263519287109
44,44,23,,train,0.92,0.35346115,0.6466522,0.29319108,0.008512565307587486,0.8976157082748744,0.8976157082748744,0.9130645944633098,0.904761904761384,0.8096144693003333,0.3312631845474243
46,46,24,,train,0.9,0.34616864,0.6498799,0.30371124,0.008333333333333333,0.909770920991096,0.909770920991096,0.8760188760188576,0.8885918003559892,0.7780736795383933,0.28684210777282715
48,48,25,,train,0.93,0.31761461,0.6291114000000001,0.31149679999999996,0.008164965809277261,0.9137447405329384,0.9137447405329384,0.9214285714285496,0.9174430947040432,0.8349056603773586,0.281578928232193
50,50,26,,train,0.92,0.29743284,0.61179817,0.31436533,0.008006407690254356,0.8887330528284045,0.8887330528284045,0.9218670725519806,0.9028654686735936,0.8061076102762967,0.2761052846908569
52,52,27,,train,0.93,0.28850728,0.6019869000000001,0.31347959999999997,0.007856742013183862,0.8959794296399987,0.8959794296399987,0.9402286902286656,0.9141209667520258,0.8287671232876713,0.2898947298526764
54,54,28,,train,0.92,0.286879,0.59703964,0.31016064,0.007715167498104597,0.9064983637213444,0.9064983637213444,0.9064983637213444,0.9064983637208442,0.8129967274427303,0.27799999713897705
56,56,29,,train,0.93,0.25133178,0.5576897,0.30635795,0.007580980435789034,0.9137447405329384,0.9137447405329384,0.9214285714285496,0.9174430947040432,0.8349056603773586,0.3209473788738251
58,58,30,,train,0.94,0.25356117,0.5566963,0.30313513,0.007453559924999299,0.9298737727910024,0.9298737727910024,0.9298737727910024,0.9298737727905024,0.8597475455820476,0.3378947377204895
60,60,31,,train,0.94,0.22536096,0.531416,0.30605504,0.007332355751067666,0.9298737727910024,0.9298737727910024,0.9298737727910024,0.9298737727905024,0.8597475455820476,0.3045263290405273
62,62,32,,train,0.97,0.19722378,0.5094581,0.31223434,0.0072168783648703235,0.9604955586722546,0.9604955586722546,0.969047619047596,0.9646184691585764,0.929245283018868,0.3316842317581177
